2023-05-07 00:27:01 , udn , 中一中再惹議！匿名版驚見「納粹」符號 校方深夜止火 , https://udn.com/news/story/6898/7147745?from=udn-ch1_breaknews-1-0-news
2023-05-07 00:27:11 , udn , 台中一中有班級園遊會海報設計主題訂為「烯環鈉」，因諧音與「死番仔」相似，引發原住民歧視爭議。未料今晚再有人於臉書「靠北中... , https://udn.com/news/story/6898/7147745?from=udn-ch1_breaknews-1-0-news
2023-05-07 00:30:03 , udn , 殺破狼週運勢／巨蟹桃花特別旺盛 水瓶遇上職場風暴 , https://udn.com/news/story/7268/7141945?from=udn-ch1_breaknews-1-0-news
2023-05-07 00:30:13 , udn , 巨蟹座感情運方面，金星進入命宮，桃花特別旺盛的時期，會有一些人直接對你表示好感，但由於金星也受到海王星影響，爛桃花特別多。感情穩定的巨蟹座，暫時會需要與喜歡的人遠距一陣子。 , https://udn.com/news/story/7268/7141945?from=udn-ch1_breaknews-1-0-news
2023-05-07 00:33:11 , udn , 靠「魔鏡」為面試加分...陸青年風靡顏值評分 , https://udn.com/news/story/7331/7147762?from=udn-ch1_breaknews-1-0-news
2023-05-07 00:33:22 , udn , 當代年輕人的「容貌焦慮」愈來愈嚴重了嗎？近月，在大陸的一些社交、電商平台上，興起一種叫做「顏值打分」的服務，有賣家、主播自詡為專業的第三方，只要消費者、粉絲花上人民幣2到10元預約，就可提供顏值測評和分析、建議，甚至還有專門的顏值評分程式，彷彿進入了一個「看臉」的時代。 , https://udn.com/news/story/7331/7147762?from=udn-ch1_breaknews-1-0-news
2023-05-07 01:48:03 , udn , 疫情3年器捐數從4.3萬件降至1.7萬 染新冠致死捐贈條件嚴 , https://udn.com/news/story/7266/7147784?from=udn-ch1_breaknews-1-0-news
2023-05-07 01:48:14 , udn , 歷經3年新冠疫情，根據器官捐贈移植登錄及病人自主推廣中心，器官捐贈人數下滑，根據從2019年的4萬多件，到2022年僅剩... , https://udn.com/news/story/7266/7147784?from=udn-ch1_breaknews-1-0-news
2023-05-07 02:21:04 , udn , 星宇航空班機在日狀況連連 旅客回不來痛批精品航空變「空中監獄」 , https://udn.com/news/story/7266/7147790?from=udn-ch1_breaknews-1-0-news
2023-05-07 02:21:15 , udn , 星宇航空（2646）班機在日本接連發生狀況，先是班號JX800台北-東京航班6日因風勢不穩定，三度降落成田機場失敗，延誤... , https://udn.com/news/story/7266/7147790?from=udn-ch1_breaknews-1-0-news
2023-05-07 02:54:01 , udn , 星宇班機在日狀況連連 旅客回不來痛批精品航空變「空中監獄」 , https://udn.com/news/story/7266/7147790?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:09:02 , udn , 才閃賣大砍持股  股神巴菲特又大讚台積電 , https://udn.com/news/story/6811/7147817?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:09:13 , udn , 美國億萬富豪投資家、有「股神」稱號的巴菲特，6日在內布拉斯加州奧瑪哈（Omaha）「CHI健康中心」召開的控股公司「波克... , https://udn.com/news/story/6811/7147817?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:09:33 , udn , 星宇班機在日狀況連連嚴重延誤！乘客睡機場 痛批精品航空變「空中監獄」 , https://udn.com/news/story/7266/7147790?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:18:02 , udn , 賴清德戰法 要模仿陳水扁或蔡英文模式？ , https://udn.com/news/story/6656/7147780?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:18:13 , udn , 副總統賴清德的戰法，是要採取陳水扁模式，或是蔡英文模式，恐怕會直接影響到他的選情。 , https://udn.com/news/story/6656/7147780?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:18:33 , udn , 一生只戴一次的王冠：英王加冕 傳承千年王權器物現身 , https://udn.com/news/story/7314/7147689?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:18:44 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看英國暌違70年的君主加冕典禮。英國國王查理三世一生作為其母女王伊麗莎白二世的繼承人，終於在6日正式加冕為英國國王。英國國王查理三世一生作為其母女王伊麗莎白二世的繼承人，終於在6日正式加冕為英國國王。這也是英國自1953年以來首次舉辦加冕典禮。 , https://udn.com/news/story/7314/7147689?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:39:05 , udn , 梅雨季首波鋒面到 6縣市大雨特報 吳德榮：今晚最低溫 , https://udn.com/news/story/7266/7147836?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:39:16 , udn , 中央大學大氣科學系兼任副教授吳德榮今天在「三立準氣象．老大洩天機」專欄表示，台灣海峽中部厚實雲層不斷移入，伴隨較強降水回... , https://udn.com/news/story/7266/7147836?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:39:36 , udn , 星期人物／人工智慧掀浪潮 AI教父辛頓卻悔不當初：科技朝危險狂奔 , https://udn.com/news/story/6812/7147448?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:39:47 , udn , 經常被稱為「人工智慧教父」的電腦科學家傑佛瑞．辛頓（Geoffrey Hinton）2012年率領建立圖像分析神經網路的團隊，過去10年間獲得谷歌聘用協助開發該公司的AI技術，但也因為擔心這項技術對人類帶來風險，在1日宣布辭職。 , https://udn.com/news/story/6812/7147448?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:51:18 , udn , 今晨起鋒面主體南下「降雨往南擴展」 中部較大雨勢 , https://udn.com/news/story/7266/7147838?from=udn-ch1_breaknews-1-0-news
2023-05-07 06:51:28 , udn , 梅雨季第一波鋒面今天通過台灣，天氣風險公司天氣分析師柯聿寧說，昨天在鋒前偏南到西南風環境下，各地都很熱，台南南化區甚至量... , https://udn.com/news/story/7266/7147838?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:30:21 , udn , 星宇航空挨轟「危機處理0分」 網：併班決策者該下台 , https://udn.com/news/story/7266/7147842?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:30:32 , udn , 星宇航空昨因「怪風」出狀況，後續危機處理不當，造成班機乘客只能當地過夜。旅遊網紅「布萊N 機票達人」在臉書表示，根據機上... , https://udn.com/news/story/7266/7147842?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:30:52 , udn , 鴻海11日法說會 iPhone 15新機開發狀況受矚目 , https://udn.com/news/story/7240/7147376?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:31:03 , udn , 鴻海將在11日舉行線上法說會，除了公布第一季財報之外，也將展望第二季與下半年的景氣。法人關注重點包括：鴻海電動車開發新進度、iPhone 15新機開發狀況、人工智慧（AI）伺服器的出貨狀況，以及美國墨西哥印度與越南等全球布局的進度。

鴻海4月營收為4292億元，月增7.23%，年減11.77%，與公司預期約略相當，今年前四個月營收為1.89兆元，年減0.14%，為歷年同期次高。 , https://udn.com/news/story/7240/7147376?from=udn-ch1_breaknews-1-0-news
2023-05-07 07:33:22 , udn , 大腸癌「沉默殺手」要人命？網推四個好習慣有效預防！ , https://udn.com/news/story/7266/7144485?from=udn-ch1_breaknews-1-0-news
