2023-05-09 00:06:04 , udn , 擺脫行人地獄 蔣萬安2改革 李四川留言也做這事…網讚 , https://udn.com/news/story/7323/7151531?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:06:15 , udn , 台北市長蔣萬安今天晚間在臉書貼文表示，「行人地獄」標籤對任何城市來講，都是不可承受之重，台北身為首都，不可以無視惡名，他... , https://udn.com/news/story/7323/7151531?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:18:02 , udn , 高雄隊責任加重！通過搜救能力分級認證 即刻救援能量增 , https://udn.com/news/story/7320/7151569?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:18:13 , udn , 為強化特種搜救隊面對各種突發性災難的行動派遣機制，高雄市消防局去年起整合各救災量能，歷經密集動員、訓練及演練，本月6至8... , https://udn.com/news/story/7320/7151569?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:27:04 , udn , 2條海纜斷得詭異 事涉國安與民生 政院急補破網 , https://udn.com/news/story/6656/7151587?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:27:14 , udn , 海底電纜對國家安全、民生重要性極高，但卻迄今尚未列入國家關鍵基礎設施。今年台馬2條海纜遭人為外力損害，造成馬祖地區通信服務受到嚴重影響。由於國內海纜的主管機關為數位發展部，行政院日前才表示，海纜屬於國家重大設施，已請數位部評估是否要納入。數位部近日已完成評估，將報行政院國土辦核定。不過是否會列入，仍無確切說明。 , https://udn.com/news/story/6656/7151587?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:27:35 , udn , 穿「這2種顏色」免費吃辣炒年糕！1元吃「明洞炸醬麵」 , https://udn.com/news/story/7270/7151586?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:27:45 , udn , 養心餐飲旗下全新餐廳「야채 YACHE 野菜韓式蔬食」，將於5月10日正式開幕，店內以蔬食結合韓國風味的烹調手法，帶來全... , https://udn.com/news/story/7270/7151586?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:39:03 , udn , 為詐領幾萬補助 雄獅三員工被檢警調查獲交保 , https://udn.com/news/story/7320/7151610?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:39:14 , udn , 知名旅行社雄獅（2731）因三名員工涉嫌利用申請企業人力資源提升計畫，詐領補助費數萬元，昨天被新北地檢署指揮新北市刑大前... , https://udn.com/news/story/7320/7151610?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:45:03 , udn , 陸成立國家老年大學 大中型城市想上課「一座難求」 , https://udn.com/news/story/7331/7151499?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:45:13 , udn , 中國愈來愈老了。2015年大陸官方抽樣調查推估，60歲以上人口達2.2億人，占比為16.15%，到了2021年底上升到18.7%，人數突破2.64億人。為此，中共中央發布「關於加強新時代老齡工作的意見」提出：「有效應對我國人口老齡化，事關國家發展全局，事關億萬百姓福祉，事關社會和諧穩定，對於全面建設社會主義現代化國家具有重要意義」。 , https://udn.com/news/story/7331/7151499?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:48:40 , udn , 嘉市警局教保中心成立 鼓勵增產報國 , https://udn.com/news/story/7326/7151459?from=udn-ch1_breaknews-1-0-news
2023-05-09 00:50:12 , udn , 文創園區活動熱周邊交通卻大亂 議員督促積極解決停車問題 , https://udn.com/news/story/7326/7151433?from=udn-ch1_breaknews-1-0-news
2023-05-09 01:02:54 , udn , 秒置身日本 高雄藏壽司海外最大旗艦店 開箱5亮點 , https://udn.com/news/story/7266/7151628?from=udn-ch1_breaknews-1-0-news
2023-05-09 01:03:05 , udn , 日本知名品牌「藏壽司」全球旗艦店落腳高雄亞灣區，含停車場占地2000坪，入店一只3公尺高的巨大迎賓燈籠，濃濃和風味，正門左右兩側的燈籠牆及日本江戶時期的浮世繪，讓人有彷彿置身日本，也成為高雄「偽出國」熱點。 , https://udn.com/news/story/7266/7151628?from=udn-ch1_breaknews-1-0-news
2023-05-09 01:05:56 , udn , 表哥是人大代表 溫哥華華裔市長 身陷「中國助選」風暴 , https://udn.com/news/story/6809/7151630?from=udn-ch1_breaknews-1-0-news
2023-05-09 01:06:06 , udn , 父母來自香港的沈觀健（Ken Sim）去年當選溫哥華市長，成為該市首位華裔市長，但加拿大「環球郵報」今年2月披露情報單位的機密文件，指北京干預加拿大選舉，包括溫哥華市長選舉，使沈觀健陷入北京助他當選的風暴中。而沈觀健又是香港特別行政區全國人大代表陳智思的表弟，陳智思是香港前行政長官林鄭月娥任內的首席顧問，沈觀健擊敗友台的前市長史都華（Kennedy Stewart），是北京助他當選嗎？他能撇清與北京的關係？ , https://udn.com/news/story/6809/7151630?from=udn-ch1_breaknews-1-0-news
2023-05-09 03:02:52 , udn , LA知名購物中心爆大規模鬥毆 路人驚叫警察在哪？ , https://udn.com/news/story/6813/7151652?from=udn-ch1_breaknews-1-0-news
2023-05-09 03:03:02 , udn , 洛杉磯知名大型購物中心The Grove的街道 ，5月7日（周日）發生一起大規模鬥毆事件。民眾用手機拍攝了當時打鬥的畫面... , https://udn.com/news/story/6813/7151652?from=udn-ch1_breaknews-1-0-news
2023-05-09 03:12:24 , udn , 駕貨車在布魯克林肆意衝撞 蘇文遭檢指控犯謀殺罪 , https://udn.com/news/story/6813/7151647?from=udn-ch1_breaknews-1-0-news
2023-05-09 03:12:34 , udn , 布碌崙(布魯克林)地區檢察官蔣莎樂(Eric Gonzalez)8日宣布，涉嫌駕駛U-Haul貨車橫衝直撞，在貝瑞吉(B... , https://udn.com/news/story/6813/7151647?from=udn-ch1_breaknews-1-0-news
2023-05-09 04:14:53 , udn , NSO東京演出贏得滿堂彩 安倍昭惠稱讚表演精湛 , https://udn.com/news/story/7266/7151659?from=udn-ch1_breaknews-1-0-news
2023-05-09 04:15:04 , udn , 台灣國家交響樂團（NSO）時隔2年到日本巡演，今晚在東京表演。駐日代表謝長廷、日本已故前首相安倍晉三夫人安倍昭惠、30多... , https://udn.com/news/story/7266/7151659?from=udn-ch1_breaknews-1-0-news
2023-05-09 05:32:54 , udn , 美國與墨西哥邊界移民危機 兩國總統將商討對策 , https://udn.com/news/story/6813/7151671?from=udn-ch1_breaknews-1-0-news
2023-05-09 05:33:04 , udn , 美國與墨西哥都為兩國邊界可能出現的移民潮做準備之際，墨西哥總統羅培茲歐布拉多今天表示，他將與美國總統拜登討論移民政策 , https://udn.com/news/story/6813/7151671?from=udn-ch1_breaknews-1-0-news
2023-05-09 05:36:22 , udn , 洛城101高速路轎車逆行致重大車禍 1死2傷 , https://udn.com/news/story/6813/7151670?from=udn-ch1_breaknews-1-0-news
2023-05-09 05:36:32 , udn , 洛杉磯東好萊塢（East Hollywood）101號公路，8日凌晨發生一起慘烈的交通事故。一輛車逆向行駛，迎頭撞向其他... , https://udn.com/news/story/6813/7151670?from=udn-ch1_breaknews-1-0-news
2023-05-09 05:38:53 , udn , 秦剛會伯恩斯後 美國務院表明布林肯想訪陸、一中政策沒變 , https://udn.com/news/story/6811/7151683?from=udn-ch1_breaknews-1-0-news
2023-05-09 05:42:02 , udn , 中國大陸外長兼國務委員秦剛8日在北京會晤美國駐大陸大使伯恩斯（Nicholas Burns）。路透及「阿拉伯衛星電視台」... , https://udn.com/news/story/6811/7151683?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:00:22 , udn , 投資人等待通膨數據 美股史指收盤持平 , https://udn.com/news/story/6811/7151680?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:00:33 , udn , 投資人期待關鍵通膨數據發布，包括4月消費者物價指數(CPI)報告，史坦普500指數持平作收。 , https://udn.com/news/story/6811/7151680?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:17:53 , udn , 大型車事故連4年死傷破萬 圖解行人死亡陷阱 , https://udn.com/news/story/7314/7151631?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:18:04 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看大型車事故連年破萬人死傷。 , https://udn.com/news/story/7314/7151631?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:20:50 , udn , 【總編開箱】賴清德蹭劇擺拍也難造浪 志願士兵已用腳投票 , https://udn.com/news/story/123307/7151636?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:21:01 , udn , 根據國防部最近提交立院資料顯示，去年有4066名志願役士兵申請不適服而提早離開軍隊，創下歷年新高。對此，國防部長邱國正表示，年輕人有想法「勉強不來」。雖然這些人選擇提早退出部隊，表面上的理由多半是「生涯規畫」，副總統賴清德一再強調2024大選並非「戰爭與和平」，而是「民主與專制」選擇，更極力淡化「票投民進黨、青年上戰場」的印象，但從這些爭相提早離開軍旅的志願役士兵，似乎也透露了他們是否「信賴」。 , https://udn.com/news/story/123307/7151636?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:36:15 , udn , 扯！高雄8天內三度停電 台電凌晨找出路燈故障原因 , https://udn.com/news/story/7327/7151717?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:36:25 , udn , 高雄市夢時代購物中心周圍翠亨北路、震東五街和鎮興路一帶，昨晚突然路上一片漆黑，但路口交通號誌卻是正常，這是5月至今高雄第... , https://udn.com/news/story/7327/7151717?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:39:13 , udn , 為何全國21萬戶拒裝住警器 一原因最可怕 跟死神賭運氣 , https://udn.com/news/story/7266/7151625?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:39:23 , udn , 2023年4月19日深夜11時13分，新北市淡水區淡海路一棟民宅3樓竄出大火，造成一家8口4人死亡。新北市消防局火調人員勘驗發現，起火戶僅剩大門可供逃生，但神龕惡火阻斷逃生路線，加上未裝設「住警器」而釀成4死憾事。目前全國仍有21萬8551戶拒裝「住警器」，消防員訪查發現竟是這些原因讓民眾拒絕安裝住警器。 , https://udn.com/news/story/7266/7151625?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:51:12 , udn , 打破航班延遲惡夢 拜登要求航空公司推補償方案 , https://udn.com/news/story/6813/7151718?from=udn-ch1_breaknews-1-0-news
2023-05-09 06:51:23 , udn , 美國總統拜登8日在白宮宣布，將要求全美航空公司強化消費者保護，負擔由自身作業導致的航班延遲或取消的補償，包含重新安排航班... , https://udn.com/news/story/6813/7151718?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:12:13 , udn , 美股微幅上漲 聯儲會調查銀行業有授信緊縮的跡象 , https://udn.com/news/story/6811/7151722?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:12:23 , udn , 美國股市周一微漲，美國公債下跌。聯準會（Fed）一項貸款需求調查顯示授信出現緊縮，投資人開始評估Fed是否可能改變政策立... , https://udn.com/news/story/6811/7151722?from=udn-ch1_breaknews-1-0-news
2023-05-09 07:18:12 , udn , 促俄烏對話 美：尊重烏克蘭 相信中方可扮演適當角色 , https://udn.com/news/story/6809/7151724?from=udn-ch1_breaknews-1-0-news
