2023-05-10 00:00:20 , udn , 影音創作者訂起來！Final Cut Pro、Logic Pro推iPad版 , https://udn.com/news/story/7270/7154206?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:00:31 , udn , 影音創作者注意了！蘋果宣布原本只有在Mac上推出的影片、音樂創作專業軟體「Final Cut Pro」和「Logic P... , https://udn.com/news/story/7270/7154206?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:03:17 , udn , NCC「獵殺紅色5月」 鏡電視、中天新聞案等四大案全都很難審 , https://udn.com/news/story/7240/7154166?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:03:27 , udn , 對國家通訊傳播委員會（NCC）來說，這個5月會過得很辛苦。主委陳耀祥第一周就想排上32家系統台上架鏡電視新聞台在86頻道以及鏡電視董監事變更案，但這題被在野黨立委盯得牢牢，NCC在5月1日悄悄排進討論議案，但隔日議程一公告就讓立委跳腳，5月3日的審查出現在野立委「攻進」NCC的畫面，堵在主委辦公室門口，主委不得其門而出，只好改為線上委員會。 , https://udn.com/news/story/7240/7154166?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:03:48 , udn , 影音創作者訂起來！iPad版Final Cut Pro、Logic Pro月底推出 , https://udn.com/news/story/7270/7154206?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:06:13 , udn , 今年繳稅無神卡？／銀行硬擠出一點刷卡小福利，全是不想跟你分手？ , https://udn.com/news/story/7239/7154235?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:06:23 , udn , 去年還有少部分銀行推出18期0利率，甚至有些銀行刷卡繳稅最高可分30期（有利息）；曾經辦過18期的T小姐就表示，到現在付，感覺上像是在「欠稅」，有點後悔，因為付的很煩，她認為分期應該在一年內結束會比較剛好。 , https://udn.com/news/story/7239/7154235?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:15:14 , udn , 竹東幫派強押民眾過戶土地 還率眾打砸民宅、機車 , https://udn.com/news/story/7321/7154246?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:15:25 , udn , 竹東警分局日前破獲一起幫派結夥，強押被害民眾過戶名下持分土地，就連其他土地持分所有人也不放過，還一隻牛剝兩層皮，不僅先低... , https://udn.com/news/story/7321/7154246?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:15:45 , udn , 羽球場天花板不耐輕震 監察院糾正桃園市政府 , https://udn.com/news/story/6656/7154245?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:15:56 , udn , 桃園市八德國民運動中心前年9月18日發生羽球場天花板輕鋼架在輕震時塌落。監委郭文東、張菊芳、林盛豐今天表示，桃園市政府未... , https://udn.com/news/story/6656/7154245?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:16:16 , udn , 精品航空變「空中監獄」 星宇的危機該怎麼解？ , https://udn.com/news/story/7241/7154244?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:16:27 , udn , 以「精品航空」自詡，星宇航空董事長張國煒以直言、敢言，吸引一堆粉絲，成立三年遇上百年大疫衝擊，一旦起飛仍深受「K粉」、「星粉」的支持與喜愛，疫後很多旅客衝著張國煒，選擇搭乘星宇航空班機出國旅遊。 , https://udn.com/news/story/7241/7154244?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:35:09 , udn , 浙女「裸貸」5000人民幣 4個月滾成550萬 , https://udn.com/news/story/7332/7152804?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:35:20 , udn , 因沉迷網路賭博，浙江紹興一名26歲女子陷「裸貸」詐騙陷阱，5000元(人民幣，下同，約726美元)借款4個月「利滾利」變... , https://udn.com/news/story/7332/7152804?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:42:04 , udn , 生死一瞬間／台首件人肉炸彈案 警扮記者勸降 倒數50秒狂奔保命 , https://udn.com/news/story/7266/7153869?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:42:15 , udn , 距今20年前，男子黃金生遭檢舉涉改造槍械，在當時的台北縣新店山區的屈尺被大批警方圍捕時，抱著自製炸彈和警方對峙了6個多小時後，深夜將近10時引爆炸彈，黃當場被炸死，成為台灣首次出現的引爆炸彈自殺事件，激進的手法與下場震撼全台，當時曾與他近身談判的員警，當時聽黃金生吐露不少身在黑道裡的諸多苦水，如今回想，格外感慨。 , https://udn.com/news/story/7266/7153869?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:53:06 , udn , 陸男「精力」下滑？精子庫撒錢求捐 合格率卻剩20% , https://udn.com/news/story/7331/7154243?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:53:16 , udn , 今年春節後，大陸各省精子庫頻頻發出「捐精」倡議，補充三年疫情期間的空窗，吸引不少缺錢、求職難的大陸青年，甚至在校大學生躍躍欲試，網紅也發布實測影片吸睛，但據一所號稱「中國最大」的湖南精子庫研究顯示，大陸男人的精子質量正在下滑，合格率還不到2006年的一半，因為環境、汙染，和飲食、熬夜、壓力和吸菸等因素，都可能造成影響。 , https://udn.com/news/story/7331/7154243?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:56:54 , udn , 布林肯呼籲：讓台灣以觀察員參加WHA , https://udn.com/news/story/6811/7154312?from=udn-ch1_breaknews-1-0-news
2023-05-10 00:57:05 , udn , 美國國務卿布林肯（Antony Blinken）9日發布聲明呼籲世界衛生組織（WHO）邀請台灣參與本月下旬將舉行的世界衛... , https://udn.com/news/story/6811/7154312?from=udn-ch1_breaknews-1-0-news
2023-05-10 01:06:56 , udn , 又一家大企業擬改用人民幣 向大陸出口產品 , https://udn.com/news/story/6811/7154269?from=udn-ch1_breaknews-1-0-news
