2023-05-15 00:05:57 , udn , 泰國大選開票近20% 在野黨有望下架軍政府 , https://udn.com/news/story/6809/7165080?from=udn-ch1_breaknews-1-0-news
2023-05-15 00:06:08 , udn , 泰國14日舉行眾議院選舉，根據泰國選委會，逾5228萬名民眾符合這次選舉投票資格。全國選民一人兩票，一票投地方選區代表、... , https://udn.com/news/story/6809/7165080?from=udn-ch1_breaknews-1-0-news
2023-05-15 00:17:55 , udn , 徵才新模式 電鍍工轉行直播幫3000人找到工作 , https://udn.com/news/story/7331/7165105?from=udn-ch1_breaknews-1-0-news
2023-05-15 00:18:05 , udn , 找工作不必再與人事主管現場面對面溝通了。過去三年新冠疫情期間，「直播帶崗」招聘模式在大陸悄悄興起，成為企業招聘的新管道，「直播帶崗」一詞更入選大陸「2022勞動熱詞」。而直播帶崗的主播—「網路招聘師」也成為新興職業。吉良元就是江蘇當紅的「網路招聘師」，但他更願意將自己稱為「數字化招聘師」。 , https://udn.com/news/story/7331/7165105?from=udn-ch1_breaknews-1-0-news
2023-05-15 00:30:10 , udn , 上廁所驚見手機伸門縫！她抓到偷拍者是國小女童 對方阿嬤：小孩開玩笑 , https://udn.com/news/story/120911/7164876?from=udn-ch1_breaknews-1-0-news
2023-05-15 00:51:09 , udn , 日傳統溫泉旅館好在哪？陸人出價比市價高1倍 硬是要買 , https://udn.com/news/story/6809/7165143?from=udn-ch1_breaknews-1-0-news
2023-05-15 00:51:20 , udn , 距東京僅90公里的熱海享有海景和溫泉，熱海鶴屋飯店(Tsuruya Ryokan)曾是日本新婚夫妻蜜月旅行的首選，在日本經濟泡沫化及流行去夏威夷等地度蜜月後，早已歇業且被棄置多年的熱海鶴屋成為熱海沒落的象徵，近年靠著不惜以高價收購日本傳統溫泉旅館的中國大陸投資人，熱海又重獲新生。地點絕佳的熱海鶴屋於2017被港資買下後改建成高級溫泉飯店，號稱每個房間都擁有露天溫泉，已於去年9月開始營業。 , https://udn.com/news/story/6809/7165143?from=udn-ch1_breaknews-1-0-news
2023-05-15 01:03:05 , udn , 揭共軍對台5戰術 我掌握紅色沙灘參數 摸清攻台可能路線 , https://udn.com/news/story/10930/7165153?from=udn-ch1_breaknews-1-0-news
2023-05-15 01:03:16 , udn , 國防部日前向立法院報告揭露共軍出現五種樣態，顯示仍將對台實施傳統兩棲登陸作戰的意圖。對於有網友近期質疑海軍151艦隊接連試登台灣各地「紅色沙灘」，恐有為共軍登陸台灣「指路」之虞。軍方一句話反駁，海軍本周將持續在中樞防務關鍵的淡水河口兩側的挖子尾、沙崙海灘進行兩棲試登，探測共軍兩棲部隊攻台時可能的航道與路徑。 , https://udn.com/news/story/10930/7165153?from=udn-ch1_breaknews-1-0-news
2023-05-15 01:24:06 , udn , 空軍第一聯隊修補大隊士官遭電源車壓住不治 死因待查 , https://udn.com/news/story/7320/7165166?from=udn-ch1_breaknews-1-0-news
2023-05-15 01:24:16 , udn , 駐地在台南市的空軍第一聯隊修補大隊場站中隊地裝分隊陳姓下士，昨天深夜10點半左右在機堡執行電源車拖動戰機作業時，不明原因... , https://udn.com/news/story/7320/7165166?from=udn-ch1_breaknews-1-0-news
2023-05-15 01:45:04 , udn , 泰國大選開5成票數 在野「前進黨」竟超車「為泰黨」、暫居領先 , https://udn.com/news/story/6809/7165170?from=udn-ch1_breaknews-1-0-news
2023-05-15 01:45:15 , udn , 14日泰國眾議院大選仍在計票中，據外媒報導，目前已開5成選票，形成在野兩大黨「為泰黨」和「前進黨」之爭，選前廣被看好成為... , https://udn.com/news/story/6809/7165170?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:09:04 , udn , 四大類型藝博會同時進攻台北 見證台年輕世代藏家崛起 , https://udn.com/news/story/7270/7165178?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:09:14 , udn , 上個周末的台北很「藝術」！光是在台北便有四場類型迥異的藝術博覽會同步登場──包括台北當代藝術博覽會、首個只在夜間開放的藝... , https://udn.com/news/story/7270/7165178?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:09:35 , udn , 土耳其總統大選 官媒稱現任厄多安領先、在野候選人則暗示自己會贏 , https://udn.com/news/story/6809/7165177?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:09:45 , udn , 土耳其14日舉行總統暨國會2合1選舉，在最受國際關注的總統大選部分，國營的安納杜魯新聞社（Anadolu Agency）... , https://udn.com/news/story/6809/7165177?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:30:03 , udn , 泰國大選已開近8成選票 前進黨很可能成最大黨 , https://udn.com/news/story/6809/7165185?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:30:13 , udn , 14日正式投票的泰國眾議院大選，據外媒報導，已開出近8成選票，根據泰國選委會官網公布的計票結果，在野的「前進黨」勢如破竹... , https://udn.com/news/story/6809/7165185?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:54:05 , udn , 土耳其總統大選已開約4成7選票 厄多安暫領先 , https://udn.com/news/story/6809/7165193?from=udn-ch1_breaknews-1-0-news
2023-05-15 02:54:15 , udn , 14日土耳其舉行總統大選，目前全國已有約4成7的票匭開完票，根據國營的安納杜魯新聞社（Anadolu Agency），在... , https://udn.com/news/story/6809/7165193?from=udn-ch1_breaknews-1-0-news
2023-05-15 03:51:05 , udn , 獨/超級響尾蛇飛彈升空服勤 應對共機越過海峽中線挑釁 , https://udn.com/news/story/10930/7165199?from=udn-ch1_breaknews-1-0-news
2023-05-15 03:51:16 , udn , 空軍司令部證實，美售我新型AIM-9X超級響尾蛇飛彈已完成戰備，由嘉義聯隊F-16V警戒機搭載升空執勤，應對共機在台海空... , https://udn.com/news/story/10930/7165199?from=udn-ch1_breaknews-1-0-news
2023-05-15 04:09:03 , udn , 砸錢沒用、鬆綁也沒用 寄養家庭不停流失 解方在哪 , https://udn.com/news/story/7266/7165154?from=udn-ch1_breaknews-1-0-news
2023-05-15 04:09:13 , udn , 願意投入寄養家庭的服務者日益減少，寄養家庭父母年齡老化，也成不可逆的社會現象，各地政府祭出紛紛寄養家庭招募令，而且一再降低門檻，但受少子化、高齡化、經濟壓力等因素，新加入的寄養家庭極其有限，解方在哪裡？ , https://udn.com/news/story/7266/7165154?from=udn-ch1_breaknews-1-0-news
2023-05-15 05:30:04 , udn , 日韓外交開啟亞洲新時代 南韓怒批大陸為何不假辭色？ , https://udn.com/news/story/6809/7163032?from=udn-ch1_breaknews-1-0-news
2023-05-15 05:30:15 , udn , 編按：聯合報精選每周國際大事，由資深國際新聞媒體人郭崇倫深入解讀，帶讀者看懂國際新聞背後門道，快速掌握全球局勢變化。

看點1：在中國外交部長秦剛與美國駐華大使伯恩斯會面後，中共中央外事工作委員會辦公室主任王毅接著在維也納與白宮國家安全顧問蘇利文舉行會談，可預期美中高層在未來數月內將有更多互動。

看點2：睽違12年日韓領袖再度互訪，雙邊關係在穿梭外交下取得重大進展。日本首相岸田文雄對歷史糾葛的表態能加速兩國融冰？南韓對中國大陸愈來愈強硬又是憑藉著什麼底氣？

看點3：為解決舉債上限危機，共和黨堅持要聯邦政府削減開支，以換取提高31.4兆美元的債務上限，拜登則希望無條件提高債務上限。即使經濟衰退、失業率飆升等警告不斷，仍無法化解持續數月的僵局。 , https://udn.com/news/story/6809/7163032?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:06:35 , udn , 泰國大選完成97%計票 反對派朝扳倒軍方勢力挺進 , https://udn.com/news/story/6809/7165202?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:06:46 , udn , 泰國選民明確反對獲軍方支持的政府繼續執政。選舉委員會今天數據顯示，國會大選幾乎完成計票，兩個主要在野黨遙遙領先，執政近1... , https://udn.com/news/story/6809/7165202?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:18:04 , udn , 侯、郭終需一戰 國民黨能否推出勝選者聯盟才重要 , https://udn.com/news/story/6656/7165150?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:18:14 , udn , 好萊塢的漫威電影「美國隊長 英雄內戰」劇情這麼演：鋼鐵人跟美國隊長反目，但美國隊長給了鋼鐵人一支手機，要他需要幫忙時隨時來電，之後也真的成為打敗劇中大反派薩諾斯的關鍵。 , https://udn.com/news/story/6656/7165150?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:18:35 , udn , 藍徵召掀牌在即 圖解近年提名方式 侯郭如何較勁 , https://udn.com/news/story/7314/7165092?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:18:46 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。國民黨將於本周推出總統參選人，這次的圖表帶你看侯、郭在過去一個多月如何力拚出線。 , https://udn.com/news/story/7314/7165092?from=udn-ch1_breaknews-1-0-news
2023-05-15 06:21:04 , udn , 【總編開箱】侯、郭終需一戰 國民黨能否推出勝選者聯盟才重要 , https://udn.com/news/story/123307/7165150?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:21:34 , udn , 台南市大樓委外清運垃圾漲不停 一包垃圾成煩惱事 , https://udn.com/news/story/7323/7165225?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:21:44 , udn , 台南市公寓住戶垃圾多數委外處理，但萬物齊漲，處理費漲不停，求助環保局清運。但大樓垃圾清運，除了要有舉式垃圾車、資源回收車... , https://udn.com/news/story/7323/7165225?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:27:17 , udn , 塔特姆飆51分創NBA第7戰新猷 綠衫軍晉東區冠軍賽 , https://udn.com/news/story/7002/7165228?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:27:27 , udn , 波士頓塞爾蒂克今天靠主將塔特姆（Jayson Tatum）砍進NBA史上第7戰最高的51率領下，以112比88擊退費城7... , https://udn.com/news/story/7002/7165228?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:27:42 , udn , 空軍第一聯隊士官遭電源車壓過搶救不治 死因待查 , https://udn.com/news/story/7320/7165166?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:27:48 , udn , 日職／橫濱灣星想重返1998年榮耀 強打之外還要靠投手爭氣 , https://udn.com/news/story/122629/7164810?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:27:58 , udn , 曾經拿下安打王、打點王各兩次、打擊王一次的經典洋將羅斯（Robert Rose）將重返日本，受母球團橫濱DeNA海灣之星隊之邀出席6月2日至4日的『GET THE FLAG！SERIES 2023』交 , https://udn.com/news/story/122629/7164810?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:28:19 , udn , 道奇老幹新枝一起發力 掀起五月狂潮走敢若飛 , https://udn.com/news/story/122629/7164753?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:28:29 , udn , 五月份哪一隊戰績最好？答案不再是光芒了（7勝4敗）。進入五月後，道奇先是在主場三連戰以13比4、13比1及10比6痛宰費城人，接下來客場出戰兩大強敵教士及釀酒人都以兩勝一敗贏得系列賽。緊接著回到洛杉磯 , https://udn.com/news/story/122629/7164753?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:28:50 , udn , 中職／金融母公司球隊教頭帶兵難長久 李來發樹立一道高牆 , https://udn.com/news/story/122629/7164606?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:29:01 , udn , 上週台灣棒壇最震撼的新聞莫過於「助下恰上」，中信兄弟宣布總教練林威助轉任球團海外發展顧問，由「恰恰」彭政閔接掌兵符，由於林威助在任兩年都率隊奪冠，今年開季不到2個月就無預警拔權，十分不可思議，也讓外界 , https://udn.com/news/story/122629/7164606?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:29:21 , udn , 徵召前朱立倫將先會郭台銘、侯友宜 誰較「抗打」也納考量 , https://udn.com/news/story/6656/7163942?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:29:32 , udn , 國民黨預計17日徵召提名總統參選人選，目前仍由聲勢最高的新北市長侯友宜和鴻海創辦人郭台銘呈現競爭態勢。據了解，這兩天黨中央將進行最後階段的彙整意見及內參民調。除了人選作業最後衝刺，國民黨不管是黨中央、黨團及智庫，都已進入備戰狀態，完成藍營將來可能政策、政見及議題的相關資料準備與可能的政策白皮書。郭侯之爭將揭曉，國民黨下一階段「子彈」已備妥。 , https://udn.com/news/story/6656/7163942?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:33:27 , udn , 比初戀還甜？八木莉可子巧戴法式珠寶曬輕奢 , https://udn.com/news/story/7270/7165231?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:33:37 , udn , 人生最甜三件事絕對會是口渴時的一杯水、煉乳，或是初戀的回憶。去年因演出日劇《初戀》中「年輕版」滿島光而走紅的日本女星八木... , https://udn.com/news/story/7270/7165231?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:33:58 , udn , NBA／泰托姆飆51分創第7戰新猷 綠衫軍晉東區冠軍賽 , https://udn.com/news/story/7002/7165228?from=udn-ch1_breaknews-1-0-news
2023-05-15 07:34:09 , udn , 波士頓塞爾蒂克今天靠主將泰托姆（Jayson Tatum）砍進NBA史上第7戰最高的51率領下，以112比88擊退費城7... , https://udn.com/news/story/7002/7165228?from=udn-ch1_breaknews-1-0-news
