2023-05-16 00:24:15 , udn , 天道盟同心會租名車不還恐嚇「拿錢買回」 和運也受害 , https://udn.com/news/story/7320/7167372?from=udn-ch1_breaknews-1-0-news
2023-05-16 00:24:25 , udn , 天道盟同心會吳濬豪、吳志洋兄弟檔，在新北市蘆洲區開設合發當鋪，以合法掩飾非法，找來公司負責人充當人頭向和運租車、歐悅租賃... , https://udn.com/news/story/7320/7167372?from=udn-ch1_breaknews-1-0-news
2023-05-16 00:42:06 , udn , 陸今年多地「退林還耕」 是為台海戰爭做準備？ , https://udn.com/news/story/7331/7167045?from=udn-ch1_breaknews-1-0-news
2023-05-16 00:42:16 , udn , 四川成都2017年斥資人民幣341億元（約合新台幣1517億元）動工修建約百公里長的「環城生態區綠道」，計畫串聯120多座生態公園、綠地、濕地和林地來美化環境；工程原定今年底完工，但4月底被民眾發現，一些早前種植好的綠化植栽卻開始遭剷除，據說是為了響應「退林還耕」政策。有成都市民認為，可能是因「台海局勢緊張或者各種不穩定因素疊加」，官方正在加緊「備戰、備荒」。 , https://udn.com/news/story/7331/7167045?from=udn-ch1_breaknews-1-0-news
2023-05-16 01:18:04 , udn , 扁喊排黑條款違憲 10綠委附和 賴清德如何接招 , https://udn.com/news/story/6656/7167454?from=udn-ch1_breaknews-1-0-news
2023-05-16 01:18:15 , udn , 民進黨高雄市議員陳致中入獄服刑，保外就醫的台中監獄受刑人陳水扁不滿選罷法的反黑條款，可能影響陳致中未來出獄發展，有10名民進黨立委拜會立法院長游錫堃，他們認為行政院版選罷法修正草案，違反洗錢防制法經有罪判決有罪者，終身不得參選規定，不符比例原則，有違憲之虞，政府應懸崖勒馬。 , https://udn.com/news/story/6656/7167454?from=udn-ch1_breaknews-1-0-news
2023-05-16 03:27:05 , udn , 把虹夕諾雅搬回家！台中14期新案「磐興寬境」受矚目 , https://udn.com/news/story/7241/7167475?from=udn-ch1_breaknews-1-0-news
2023-05-16 03:27:16 , udn , 台中14期重劃區低密度、高綠覆優勢持續被看好，中部知名建商磐興建設繼首件大樓案「磐興寬心」順銷後，今(15)日宣布將再推... , https://udn.com/news/story/7241/7167475?from=udn-ch1_breaknews-1-0-news
2023-05-16 05:45:05 , udn , 債限談判樂觀 道指中止連跌 , https://udn.com/news/story/6811/7167512?from=udn-ch1_breaknews-1-0-news
2023-05-16 05:45:15 , udn , 交易員評估正在進行的債務上限談判，史坦普500指數小幅上漲。 , https://udn.com/news/story/6811/7167512?from=udn-ch1_breaknews-1-0-news
2023-05-16 06:06:06 , udn , 游錫堃訪華府赴國會 蓋拉格：討論美台經濟與安全關係 , https://udn.com/news/story/6656/7167522?from=udn-ch1_breaknews-1-0-news
