2023-05-17 00:06:15 , udn , 柯文哲：侯友宜出線會很痛苦 「從來不知他想幹什麼」 , https://udn.com/news/story/6656/7169991?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:06:25 , udn , 國民黨「郭侯之爭」結果即將揭曉。民眾黨主席柯文哲在今天播出的廣播節目中接受時力量量前立委黃國昌訪問，坦言，新北市長侯友宜... , https://udn.com/news/story/6656/7169991?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:09:16 , udn , 學生問高房價何解？賴清德：推動各地均衡發展 , https://udn.com/news/story/6656/7169999?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:09:26 , udn , 民進黨主席賴清德今晚到政治大學與青年座談，有政大法研所學生提問，賴清德說會透過社會住宅，讓青年可以安居，但問題是，很多建... , https://udn.com/news/story/6656/7169999?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:39:03 , udn , 大學生問台灣對中國經濟依賴？賴清德：情勢已經在改變 , https://udn.com/news/story/6656/7170104?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:39:13 , udn , 民進黨主席賴清德今晚到政治大學與青年座談，有學生問，民進黨政府希望降低對中國依賴，但是民進黨執政期間，台灣對中國的貿易依... , https://udn.com/news/story/6656/7170104?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:42:06 , udn , 經濟學人「台灣是否淪陷 取決於日本」 美日聯手作戰考驗大 , https://udn.com/news/story/6809/7170111?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:42:16 , udn , 日本前防衛大臣小野寺五典接受NHK訪問時預測，如果中共攻打台灣，身為美國盟友的日本很可能介入協防台灣。英國經濟學人分析，日本可能是決定台灣是否淪陷的關鍵，日本若參戰，戰勝的可能性大增。但日本會在什麼情況下介入台海戰爭？日本若介入需克服哪些政治和軍事難題，尤其是日本自衛隊如何與美軍配合？ , https://udn.com/news/story/6809/7170111?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:42:37 , udn , IU李知恩、Hanni、劉雯  現身GUCCI首爾早春大秀 , https://udn.com/news/story/7270/7170108?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:42:47 , udn , GUCCI昨晚於首爾景福宮舉辦了2024早春系列時裝發表，除了是由GUCCI藝術工坊、工匠團隊與韓國團隊的三方合作，帶來... , https://udn.com/news/story/7270/7170108?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:43:08 , udn , 國民黨「郭侯之爭」將亮牌 黃珊珊：政治可以很簡單 , https://udn.com/news/story/123307/7170105?from=udn-ch1_breaknews-1-0-news
2023-05-17 00:43:19 , udn , 國民黨「郭侯之爭」結果將揭曉，台北市前副市長黃珊珊昨晚透過臉書表示，政治可以很簡單，人民好好檢驗政治人物，他過去做過什麼... , https://udn.com/news/story/123307/7170105?from=udn-ch1_breaknews-1-0-news
2023-05-17 01:12:04 , udn , 陸房市見證「她時代」 單身女性變大買家 建商忙讀女人心 , https://udn.com/news/story/7331/7170134?from=udn-ch1_breaknews-1-0-news
2023-05-17 01:12:15 , udn , 男性向來是大陸房市的購買主力，甚至因此出現「婚房」一詞，亦即，男人要想娶老婆得先有房。但近年在房市持續陷入低迷後，大陸地產商開始將希望寄託在經濟日益獨立的「女力」之上，專家稱，這在過去是不可想像的。 , https://udn.com/news/story/7331/7170134?from=udn-ch1_breaknews-1-0-news
2023-05-17 03:21:07 , udn , 美防長奧斯丁：很快提供台灣重大軍援 , https://udn.com/news/story/10930/7170169?from=udn-ch1_breaknews-1-0-news
2023-05-17 03:21:17 , udn , 美國國防部長奧斯丁（Lloyd Austin）16日在聯邦參議院撥款委員會表示，美國將很快動用總統提撥授權，很快提供台灣... , https://udn.com/news/story/10930/7170169?from=udn-ch1_breaknews-1-0-news
2023-05-17 04:21:06 , udn , 宜蘭三星鄉長李志鏞涉貪 檢方漏夜偵訊聲請羈押李等3人 , https://udn.com/news/story/7321/7170182?from=udn-ch1_breaknews-1-0-news
2023-05-17 04:21:17 , udn , 宜蘭縣三星鄉長李志鏞涉嫌108、109年間舉辦米香節、安農溪落羽松點燈等活動時，招標圖利特定廠商，昨天上午檢廉帶走李與相... , https://udn.com/news/story/7321/7170182?from=udn-ch1_breaknews-1-0-news
2023-05-17 05:09:05 , udn , NBA／生涯10度輸掉搶七大戰 76人主帥瑞佛斯遭開除 , https://udn.com/news/story/7002/7170161?from=udn-ch1_breaknews-1-0-news
2023-05-17 05:09:15 , udn , 美國職籃NBA費城76人在14日季後賽東區次輪第7戰以88比112輸給波士頓塞爾蒂克，無緣東區決賽，連續三年在第二輪止步... , https://udn.com/news/story/7002/7170161?from=udn-ch1_breaknews-1-0-news
2023-05-17 05:22:15 , udn , 美國國防部長奧斯丁（Lloyd Austin）16日在聯邦參議院撥款委員會表示，美國將很快動用總統提撥授權，提供台灣... , https://udn.com/news/story/10930/7170169?from=udn-ch1_breaknews-1-0-news
2023-05-17 06:00:25 , udn , 法國第一夫人姪孫當街遭毆  暴力抗議手段引眾怒 , https://udn.com/news/story/6809/7170189?from=udn-ch1_breaknews-1-0-news
