2023-05-18 00:07:44 , udn , 計程車撞分隔島轉向180度 司機受困還波及無辜女騎士 , https://udn.com/news/story/7320/7172648?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:07:55 , udn , 新北市土城區擺接堡路17日晚上發生一起計程車與機車相撞嚴重車禍，計程車疑似先自撞中央分隔島後，整輛車轉向180度卡在路邊... , https://udn.com/news/story/7320/7172648?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:08:16 , udn , 台中清水工廠暗夜大火 海線群組狂討論 , https://udn.com/news/story/7320/7172636?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:08:27 , udn , 今晚9點多，台中市清水區一間工廠發生火警，由於該工廠疑似為停放藝閣車工廠，附近住戶在臉書社群「清水小鎮」討論，有網友留言... , https://udn.com/news/story/7320/7172636?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:31:36 , udn , 會考生活英語／【科技篇】生活大幫手 , https://udn.com/news/story/6904/7158579?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:31:47 , udn , ★ 單字
1.  program [ˈproʊ.ɡræm] n. 程式；節目（國中基礎1200字）
2.  design [dɪˈzaɪn ] v. n. 設計（國中挑戰800字）

★ 實用 , https://udn.com/news/story/6904/7158579?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:32:08 , udn , 俄國淪大陸附庸？ 吉林隔163年「重獲」海參崴 , https://udn.com/news/story/7331/7172700?from=udn-ch1_breaknews-1-0-news
2023-05-18 00:32:18 , udn , 真如法國總統馬克宏所稱，俄烏戰爭已讓俄羅斯淪為中國大陸的附庸？時隔163年，海參崴再度成為吉林的出海口，進一步強化許多人這樣的觀點。 , https://udn.com/news/story/7331/7172700?from=udn-ch1_breaknews-1-0-news
2023-05-18 01:20:01 , udn , 旅遊潮來襲 大潤發行李箱特賣4折起 燦星旅遊旅展「全支付」滿3,000元送300點 , https://udn.com/news/story/7270/7172799?from=udn-ch1_breaknews-1-0-news
2023-05-18 01:20:11 , udn , 搶攻疫後大爆發的旅遊商機，大潤發即日起至6月1日推出行李箱特賣，超過20款實用旅行箱4折起，20～28吋眾多選擇，同步推... , https://udn.com/news/story/7270/7172799?from=udn-ch1_breaknews-1-0-news
2023-05-18 01:20:32 , udn , 高薪台幹轉行把屎尿 嘆聯醫這工作「沒指望的累」 , https://udn.com/news/story/7266/7172796?from=udn-ch1_breaknews-1-0-news
2023-05-18 01:20:43 , udn , 北市聯合醫院有一群人，既非醫師，也非護理師，卻穿梭各病房間，為病患餵食、翻身、換尿布、清潔身體，他們是台北市聯合醫院獨有的職務，職稱是「病房助理」，是護理師最給力的助手，更是家屬病患的身心寄託。但去年底開始，聯醫仁愛院區四、五十名病房助理集結抗議人力不足，年過六旬的胡大哥就是其中一員。他原本是年薪近百萬的大陸台幹，疫情爆發前返台，豈知再也回不去，為了生計，他從一人之下、千人之上的管理者，淪落幫病患把屎把尿、月薪僅三萬多的病房助理。 , https://udn.com/news/story/7266/7172796?from=udn-ch1_breaknews-1-0-news
2023-05-18 01:49:21 , udn , 燦坤5月消費滿額抽日本來回機票 iPhone健檢送傳輸線 , https://udn.com/news/story/7270/7172817?from=udn-ch1_breaknews-1-0-news
2023-05-18 01:49:32 , udn , 迎接換季家電舊換新需求，燦坤推出「五月梅好」促銷活動，即日起至5月31日止，買指定品牌刷指定信用卡加碼送現金折價券，最高... , https://udn.com/news/story/7270/7172817?from=udn-ch1_breaknews-1-0-news
2023-05-18 03:31:13 , udn , 哈利夫婦被狗仔追逐險釀車禍 喚起世人對黛妃喪命回憶 , https://udn.com/news/story/6812/7172827?from=udn-ch1_breaknews-1-0-news
2023-05-18 03:31:24 , udn , 英國哈利王子與妻子梅根昨天在紐約市參加慈善活動後，乘車時遭到狗仔隊追逐，險些釀成致命車禍，並且喚起世人對黛安娜王妃在19... , https://udn.com/news/story/6812/7172827?from=udn-ch1_breaknews-1-0-news
