2023-05-19 00:02:20 , udn , 中職／雨神喊停！兄弟悍將4小時馬拉松大戰言和 , https://udn.com/news/story/7001/7175323?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:02:31 , udn , 中信兄弟隊與富邦悍將隊今晚在新莊棒球場，一場超過4小時的馬拉松大戰，最終由雨神喊停，10局上打到一半下起大雨，雙方以6：... , https://udn.com/news/story/7001/7175323?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:02:52 , udn , 郭董進場太晚錯失徵召 「造王者」是最好一條路 , https://udn.com/news/story/6656/7175324?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:03:03 , udn , 台股接連上漲，收盤漲破1萬6000點。股民難免心想，半年前指數只剩1萬2000多點，那時若大舉買進，如今就是盆滿缽滿。但當時指數「跌跌不休」，台積電股價摜破400，誰也無法確定是否一瀉千里。彼時不敢冒險，如今就失去橫財的機會。

同樣的道理與心態，非常適合用來形容這兩天的郭台銘。 , https://udn.com/news/story/6656/7175324?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:08:44 , udn , 瑪家國中莊帥均全中運柔道奪金 體重控制曾讓他想放棄 , https://udn.com/news/story/7005/7175358?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:08:55 , udn , 屏東縣瑪家國中八年級莊帥均今年全中運拿下柔道國男組第二量級（42公斤）金牌，奪冠背後，體重控制是他的大魔王，一度哭著想放... , https://udn.com/news/story/7005/7175358?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:09:16 , udn , 陳歐珀與im.B詐騙主嫌牽扯不清 民進黨創黨黨員籲退選 , https://udn.com/news/story/6656/7175345?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:09:26 , udn , 民進黨宜蘭選區立委陳歐珀遭時代力量前立委黃國昌爆料，曾經的溪南服務處是im.B詐騙案主嫌曾耀鋒名下大樓，民進黨創黨黨員黃... , https://udn.com/news/story/6656/7175345?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:14:16 , udn , 西濱日落大道最佳取景時刻到來 玩家嘆：觀景台沒開放 , https://udn.com/news/story/7324/7175371?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:14:26 , udn , 台61線公路西濱「日落大道」的觀景台工程已完工多時，最近適逢拍攝落日筆直入海的最佳時機，也有攤商嗅到商機來設攤，但有攝影... , https://udn.com/news/story/7324/7175371?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:14:47 , udn , 台中霧峰「積木隔音牆」引熱議 居民：沒用且危險 , https://udn.com/news/story/7325/7175367?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:14:58 , udn , 台中市霧峰區象鼻路有砂石廠疊起4個貨櫃充當「隔音牆」改善噪音，因造型特殊，被形容是「積木隔音牆」引熱議，但附近居民不領情... , https://udn.com/news/story/7325/7175367?from=udn-ch1_breaknews-1-0-news
2023-05-19 00:19:38 , udn , 中職／接一顆球就可以？林哲瑄獲選MVP好吃驚 , https://udn.com/news/story/7001/7175381?from=udn-ch1_breaknews-1-0-news
