2023-05-20 00:01:46 , udn , 未收到邀請函仍前往WHA 薛瑞元：台灣會不屈不撓爭取 , https://udn.com/news/story/6656/7177645?from=udn-ch1_breaknews-1-0-news
2023-05-20 00:01:56 , udn , 第76屆世界衛生大會WHA即將在5月21日於瑞士日內瓦開議，但是台灣目前都沒收到邀請函，衛福部長薛瑞元今天依計畫前往瑞士... , https://udn.com/news/story/6656/7177645?from=udn-ch1_breaknews-1-0-news
2023-05-20 00:02:03 , udn , 寧願自己一個人待著！最有「社交恐懼」的3大星座 第一名超在乎別人反應 , https://udn.com/news/story/7268/7176094?from=udn-catehotnews_ch2
2023-05-20 00:56:01 , udn , 「總統大選不缺席」時力盤算兩套劇本 , https://udn.com/news/story/6656/7177845?from=udn-ch1_breaknews-1-0-news
2023-05-20 00:56:12 , udn , 各政黨積極布局2024年總統及立委選舉，藍綠白總統提名人底定，手握總統提名權的時代力量是否提出人選尚未定案。知情人士表示，2024年總統選舉時代力量不會缺席，將會在黨員大會討論是否提名總統人選，就算最終決定不自提人選，也會明確表態支持檯面上其他總統人選，預計最快6月經過黨員大會討論後定案。 , https://udn.com/news/story/6656/7177845?from=udn-ch1_breaknews-1-0-news
2023-05-20 00:56:32 , udn , 曾獲表揚「好人」 陸網紅竟是虐貓慣犯 背後產業鏈涉及千人 , https://udn.com/news/story/7331/7177842?from=udn-ch1_breaknews-1-0-news
2023-05-20 00:56:43 , udn , 2021年台灣新北蘆洲曾發生一起嚴重虐貓事件，大批不捨的台灣民眾因而推動「茶茶法案」，而在對岸的中國大陸，近日也有一起恐怖虐貓行徑被曝光，更因此揭發背後的黑暗「產業鏈」，數百名同好以「愛貓」名義組建群組、社團，實則傳播「虐貓」影片，以此牟利，連自稱誤入群組的網友都坦言，「我覺得這就是一群神經病」，擔憂若不加以正視，可能會引發更大影響。 , https://udn.com/news/story/7331/7177842?from=udn-ch1_breaknews-1-0-news
2023-05-20 03:32:20 , udn , 詹皇單調打法送幸福 穆雷神仙球致勝背後的雙方軟肋 , https://udn.com/news/story/122629/7177883?from=udn-ch1_breaknews-1-0-news
2023-05-20 03:32:31 , udn , 金塊湖人西區冠軍第二戰，湖人自斷勝利，第三節末到第四節的一段進攻失神，直接爽送金塊攻守轉換，進而快速追平並且反超，在穆雷（Jamal Murray）技驚全場的第四節神仙球背後，湖人到底犯了怎樣的錯？下 , https://udn.com/news/story/122629/7177883?from=udn-ch1_breaknews-1-0-news
2023-05-20 03:32:52 , udn , 世界盃蹼泳賽美國站  台灣女將何品莉包辦3金1銀 , https://udn.com/news/story/7005/7177624?from=udn-ch1_breaknews-1-0-news
2023-05-20 03:33:02 , udn , 台灣女子蹼泳好手何品莉日前在2023年世界盃蹼泳賽美國站，勇奪100、200、400公尺雙蹼項目的3面金牌以及50公尺雙... , https://udn.com/news/story/7005/7177624?from=udn-ch1_breaknews-1-0-news
2023-05-20 03:51:18 , udn , T1聯盟／特攻林韋翰三分手感好 笑說是因頭暈2天沒練球 , https://udn.com/news/story/7003/7177642?from=udn-ch1_breaknews-1-0-news
2023-05-20 03:51:28 , udn , T1職業籃球聯盟特攻今天在總冠軍賽第3戰再度擊敗獵鷹，其中後場指揮官林韋翰，出賽20分鐘就拿下20分、7助攻，包括5記三... , https://udn.com/news/story/7003/7177642?from=udn-ch1_breaknews-1-0-news
2023-05-20 06:19:41 , udn , 員工8字玩笑毀掉百億企業 大陸的荒誕現實 , https://udn.com/news/story/6656/7177783?from=udn-ch1_breaknews-1-0-news
2023-05-20 06:19:51 , udn , 一個員工八個字玩笑話就可以毀掉一家苦心經營9年、市值超過人民幣40億元（約合新台幣176億元）的企業？這種荒誕事還真真實實發生在今天的中國大陸。
事件起因是這樣的，大陸民營娛樂公司「笑果文化」旗下脫口秀藝人House（李昊石）13日在北京演出時說了一個段子：他到上海時收養了兩條從住處附近山上撿到的野狗。初見這兩條狗正好在追松鼠，而且「像砲彈一樣發射出去」，於是他內心就閃爍出八個大字「作風優良，能打勝仗」。... , https://udn.com/news/story/6656/7177783?from=udn-ch1_breaknews-1-0-news
2023-05-20 06:20:12 , udn , 司改人民有感嗎 盤點7年來蔡政府哪些事沒做 , https://udn.com/news/story/7314/7177849?from=udn-ch1_breaknews-1-0-news
2023-05-20 06:20:23 , udn , 聯合報每天推出「圖解新聞」，希望藉由圖像設計幫助讀者理解生硬內容。這次的圖表帶你看蔡政府司改7年讓人民有感了嗎？ , https://udn.com/news/story/7314/7177849?from=udn-ch1_breaknews-1-0-news
2023-05-20 06:37:26 , udn , 跟著巴菲特買日股 散戶善用攻略 用台幣也能賺一筆 , https://udn.com/news/story/121591/7177855?from=udn-ch1_breaknews-1-0-news
2023-05-20 06:37:36 , udn , 股神巴菲特大舉投資日股，投資者的目光再度聚焦日股，國內龍頭投信元大投信也跟著巴菲特的腳步，宣布發行國內首檔專門盯住日本龍頭權值股的日股主動型基金。先前國內已有包括元大、國泰、富邦、兆豐等投信業者有發行日股基金，但大部分都以ETF為主，這次元大投信專攻日本龍頭企業的主動式日股基金，可說是目前所有日股基金裡最聚焦日本龍頭企業的一檔，國人更可直接在台灣用新台幣就能投資日股基金。 , https://udn.com/news/story/121591/7177855?from=udn-ch1_breaknews-1-0-news
2023-05-20 07:01:25 , udn , 國中會考／首日社會、數學、國文和寫作測驗登場 考前注意事項一次看 , https://udn.com/news/story/6898/7177958?from=udn-ch1_breaknews-1-0-news
