2023-05-21 00:32:10 , udn , 殺破狼週運勢／獅子職務晉升成焦點 射手本週中獎運頗高 , https://udn.com/news/story/7268/7176425?from=udn-ch1_breaknews-1-0-news
2023-05-21 00:32:21 , udn , 射手座金錢運方面，金星在財務宮位行進，偏財運佳，記得對發票，中獎率頗高。有投資習慣的射手座，投資標的指數大幅上揚，可在相對高點出脫，獲利了結，賺到不少零用錢。 , https://udn.com/news/story/7268/7176425?from=udn-ch1_breaknews-1-0-news
2023-05-21 00:32:42 , udn , 港媒：東風-27已服役四年多 共軍不想過早公開「王牌」 , https://udn.com/news/story/7331/7179383?from=udn-ch1_breaknews-1-0-news
2023-05-21 00:32:52 , udn , 共軍超高音速飛彈東風-27近期成為美國關注的焦點，而港媒援引消息人士指，這款飛彈2019年前的某個時間已服役，但共軍不想... , https://udn.com/news/story/7331/7179383?from=udn-ch1_breaknews-1-0-news
2023-05-21 00:50:51 , udn , 不讓「中國大媽」獨享盛名  陸年輕人囤金不手軟 , https://udn.com/news/story/7331/7179225?from=udn-ch1_breaknews-1-0-news
2023-05-21 00:51:01 , udn , 不要以為「囤金」、「搶金」只是「中國大媽」的專利，現在這個觀念可要改改了，越來越多大陸「90」、「00」後年輕人已成為當地黃金消費的主力軍，還被外界調侃「中國大媽」後繼有人。大陸年輕人為什麼買起黃金？主要購買哪些黃金，也引起各界好奇。 , https://udn.com/news/story/7331/7179225?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:08:15 , udn , 獨／出題瑕疵？會考作文圖表「似曾相識」 師憂有爭議 , https://udn.com/news/story/123450/7179198?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:08:25 , udn , 國中會考今天登場，最後一節考國文作文，今年再度出現「不必訂題目」的考題，請考生閱讀影劇統計圖，敘述自身理解及經驗談。卻有教師發現此圖表「似曾相識」... , https://udn.com/news/story/123450/7179198?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:26:00 , udn , 屏東飛龍瀑布溪降又傳意外 月初才發生1男摔傷 , https://udn.com/news/story/7315/7179418?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:26:11 , udn , 屏東縣霧台鄉飛龍瀑布近期成為溯溪團熱門秘境，屏縣消防局20日下午16點58分接獲桃園轉報，北部來的溯溪團10人到飛龍瀑布... , https://udn.com/news/story/7315/7179418?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:26:32 , udn , 炸彈恐嚇信滿天飛 涉案陸籍男背後有高人？信中這慣用語不尋常 , https://udn.com/news/story/6656/7179416?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:26:42 , udn , 大眾交通運輸工具、政府機關1年半來收到大量網路恐嚇信，威脅引爆炸彈或殺人，常署名日本律師唐澤貴洋；警方統計已發生258件，但犯嫌透過網路跳板、洋蔥瀏覽器隱匿身分，難以追查，迄今未破案。 , https://udn.com/news/story/6656/7179416?from=udn-ch1_breaknews-1-0-news
2023-05-21 01:27:03 , udn , 【即時短評】情緒失控打浩克 警有臉稱使用強制力？ , https://udn.com/news/story/7320/7179414?from=udn-ch1_breaknews-1-0-news
