2023-05-23 01:06:36 , udn , 愛的「鈔」能力 陸520消費大爆發 狠甩五一長假 , https://udn.com/news/story/7331/7183333?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:06:46 , udn , 消費不足是當前中國大陸經濟的一大挑戰，許多大陸年輕人現在同樣愈來愈精打細算，甚至興起所謂的「特種兵旅遊」模式，打趴了一幫自認為很省錢的背包客。「特種兵旅遊」基本上是指：利用周末出遊，為了省錢不住飯店，而是選擇在網吧、速食餐廳過夜，三餐自帶乾糧，一天打卡多個景點。但有件事卻能讓大陸年輕人心甘情願打開荷包：愛情。 , https://udn.com/news/story/7331/7183333?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:07:07 , udn , 外國人大買日本閒置空屋 這些地區的物件最受歡迎 , https://udn.com/news/story/6811/7183320?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:07:17 , udn , 愈來愈多外國人正在日本大舉購買閒置的空屋，尤其是設有榻榻米和凹間（床之間）的鄉村老宅，日經新聞指出，這股購屋潮主要受傳統... , https://udn.com/news/story/6811/7183320?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:07:38 , udn , 影／桃園大雨釀災情 中壢、平鎮多處淹水 , https://udn.com/news/story/7266/7183319?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:07:49 , udn , 鋒面影響，北部晚間出現大雨，桃園各區陸續傳出災情，網友po出照影片，桃園市平鎮區台66線快速道路近延平路橋下淹水，畫面中... , https://udn.com/news/story/7266/7183319?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:08:09 , udn , 穩了？ 土耳其總統大選首輪第3名正式表態支持厄多安 , https://udn.com/news/story/6809/7183316?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:08:20 , udn , 土耳其總統大選被外媒稱為「今年全球最重要選舉」，由於14日無人得票率過半，故預定28日舉行最後決選。14日首輪拿下約百分... , https://udn.com/news/story/6809/7183316?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:08:40 , udn , 租屋族盼社宅實坪制 為何房仲與官員都說不妥？ , https://udn.com/news/story/7266/7183239?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:08:51 , udn , 全台年輕人為高房價所苦，以新北市為例，近10年來房價上漲幅度達58.3%，其他六都不少蛋黃區房價也翻了數倍，「打房政策」成為民眾最關心的議題之一。上月民進黨立委高嘉瑜喊出實施「實坪制」房價，才能實現居住正義，高嘉瑜認為如此一來，建商就無法藉公設灌水增加虛坪，讓房價下跌。... , https://udn.com/news/story/7266/7183239?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:09:12 , udn , 暴雨！新北土城一危老建築外牆磚瓦掉落 里長貼文警示 , https://udn.com/news/story/7323/7183298?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:09:22 , udn , 晚間下起暴雨，新北市土城區裕生路一間危老建築發生外牆磚瓦掉落，日新里里長吳信坪稍早透過臉書，將情況PO在臉書粉專，告知里... , https://udn.com/news/story/7323/7183298?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:09:43 , udn , 與海共舞挑戰自我 海大畢業生划獨木舟繞行基隆嶼 , https://udn.com/news/story/6928/7183282?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:09:53 , udn , 國立台灣海洋大學今天舉辦「畢業生獨木舟挑戰基隆嶼」活動，包含40名畢業生在內的近60名學生，從海大小艇碼頭出發，划獨木舟... , https://udn.com/news/story/6928/7183282?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:10:14 , udn , 暴雨狂灌新竹！新豐降雨破60.5毫米 地下道多處淹水 , https://udn.com/news/story/7266/7183280?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:10:24 , udn , 暴雨襲擊桃竹地區，新竹縣災害應變中心今晚緊急三級開設，其中國家災害防救科技中心晚間發布新豐鄉淹水一級警戒，位於新豐濱海的外湖觀測站1小時雨量達60.5 mm，截至深夜11點56分，新竹縣消防局共受理9件積水及路樹倒塌案件，包含竹北市中正東路地下道、湖口鄉達生地下道等，現場均拉起封鎖線警戒。 , https://udn.com/news/story/7266/7183280?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:10:45 , udn , 高雄「黑金之亂」 2個小弟讓陳其邁震怒要警方肅槍 , https://udn.com/news/story/7320/7183272?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:10:56 , udn , 警政署長黃明昭任高雄市警察局長期間，曾爆發「黑金」之亂，但此「黑金」非彼「黑金」；「黑金」各是指綽號「黑仔」、「金毛」的兩名幫派分子，2人掀起的「黑金之亂」，雖無驚天動地之舉，但動輒開槍、找碴、砍殺網紅甚至押人尋仇，不僅讓警局長頭疼，連高雄市長陳其邁也為之震怒，下令平亂。 , https://udn.com/news/story/7320/7183272?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:11:16 , udn , 青鳥旅行「夾餡蝴蝶酥」登場！「蜜蘭諾」新點心開賣 , https://udn.com/news/story/7270/7183264?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:11:27 , udn , 端午節即將到來，灌餡蛋捲「青鳥旅行」特別推出「銀絲蔓夜端午禮盒」，其中包含新推出「夾餡蝴蝶酥」，成為蛋捲外的另一選擇，並... , https://udn.com/news/story/7270/7183264?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:11:47 , udn , 桃園大雨釀災 整排機車泡水 10多處馬路爆堵塞大淹水 , https://udn.com/news/story/7266/7183267?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:11:58 , udn , 今晚鋒面大雷雨過境，台灣西半部出現強降雨、豪大雨勢，強降雨，桃園市楊梅、龜山、蘆竹、桃園、中壢各區陸續出現10餘處道路淹... , https://udn.com/news/story/7266/7183267?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:12:19 , udn , 暴雨夜襲 北市松山北投等區傳災情 樹倒女騎士受傷 , https://udn.com/news/story/7323/7183249?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:12:29 , udn , 受晚間鋒面的大雷雨及強風影響，台北市今晚除降下大雷雨，也有強陣風發生，山區陣風最大達8級，平地陣風最大達6級，台北市陸續... , https://udn.com/news/story/7323/7183249?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:12:50 , udn , 影／桃園蘆竹暴雨釀災！一整排機車泡水、電線桿歪斜 , https://udn.com/news/story/7266/7183240?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:13:00 , udn , 鋒面影響，北部晚間出現強降雨，各地陸續傳出災情，桃園網友po出照影片，桃園縣蘆竹區南山路已出現淹水，而停放在路邊的機車、... , https://udn.com/news/story/7266/7183240?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:13:21 , udn , 俄邊疆遭攻擊 烏情報局：俄國公民所為 , https://udn.com/news/story/122663/7183230?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:13:31 , udn , 俄羅斯邊疆地區別爾哥羅德（Belgorod）22日發生大規模轟炸，莫斯科當局指控事件為烏克蘭所為，烏克蘭總統府顧問波多利... , https://udn.com/news/story/122663/7183230?from=udn-ch1_breaknews-1-0-news
2023-05-23 01:13:52 , udn , 影／強側風影響 桃機航班轉降高雄 幸運降落旅客：有人尖叫有人吐 , https://udn.com/news/story/7266/7183222?from=udn-ch1_breaknews-1-0-news
