2023-07-24 14:18:05 , udn , MLB／放牛班的春天 國民投打發威橫掃外卡龍頭巨人 , https://udn.com/news/story/6999/7321029?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:05 , udn , 棒球的世界沒有絕對的弱隊！在外卡排行榜上領先的巨人本周作客國民主場，原以為位居國聯倒數第二的國民會是戰績大補丸，沒想到卻被狠狠反咬一口，今天攻守兩端都被壓制，在以6：1落敗給國民後，不僅系列賽慘遭橫掃 , https://udn.com/news/story/6999/7321029?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:05 , udn , 莫斯科稱遭烏無人機恐怖襲擊 距國防部2公里尋獲殘骸 、商辦玻璃碎裂 , https://udn.com/news/story/6809/7321171?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:05 , udn , 俄羅斯國防部24日指控烏克蘭利用無人機進行「恐怖攻擊」，首都莫斯科2棟建築物遭砸毀，且在國防部附近尋獲機身殘骸。 , https://udn.com/news/story/6809/7321171?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:05 , udn , 00878股價太高買不下去了嗎？ 他：那就試看看「這個」吧！ , https://udn.com/news/story/123006/7321126?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:06 , udn , 最近股市熱度高漲，覺得股價太貴很難下手的話，大芥來分享一個超有紀律的存股方式，就是定期定額。 , https://udn.com/news/story/123006/7321126?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:06 , udn , MLB／張力媲美季後賽的系列戰 金鶯熄滅光芒坐穩美東龍頭 , https://udn.com/news/story/6999/7321145?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:06 , udn , 高雄毒販不付房租遭斷水電 靠搖繩、丟鑰匙和毒蟲交易 , https://udn.com/news/story/7315/7321168?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:06 , udn , 何姓男子今年2月販毒被逮交保，改在高雄前鎮區租透天厝從操舊業，因未付房租遭房東斷水電，何仍摸黑販毒，丟鑰匙給上門毒蟲，以... , https://udn.com/news/story/7315/7321168?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:07 , udn , NBA／與詹皇之間緣分剪不斷 柯瑞：我們關係複雜 , https://udn.com/news/story/7002/7321147?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:07 , udn , 眾所皆知，NBA兩大超級巨星柯瑞（Stephen Curry）和詹姆斯（LeBron James）剛好都在俄亥俄州阿克倫同一家醫院出生，他們曾經連續4年在總冠軍賽正面交鋒，「勇騎大戰」的巨大話題性更帶 , https://udn.com/news/story/7002/7321147?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:07 , udn , 財劃法要怎麼修 陳國樑：3總統參選人應表態與提出看法 , https://udn.com/news/story/123307/7321161?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:07 , udn , 攸關中央與地方政府財政收支劃分的財劃法廿多年未修，政治大學財政系教授陳國樑認為，目前三位總統參選人包括國民黨的侯友宜、民... , https://udn.com/news/story/123307/7321161?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:07 , udn , 路邊撿到瘦弱奶喵！急送收容所救援獸醫驚呼「這不能養」 連保育員都沒發現 , https://udn.com/news/story/7470/7321070?from=udn-ch1_breaknews-1-0-news
2023-07-24 14:18:08 , udn , 大自然許多生物充滿驚奇。一名動保人員接獲民眾通報說有一隻小虎斑貓在草叢中無人照顧，立刻趕往現場將小貓帶回收容所，沒想到這隻小貓帶回收容所檢查時發現牠竟然不是貓，就連動保人員都沒當下發現。 , https://udn.com/news/story/7470/7321070?from=udn-ch1_breaknews-1-0-news
